pMines1,p0,p1,i,j,deg,enh
0.00037166476,1.1622906e-06,0.99990475,DB00708,DB00180,3.540106838999672e-08,0.9995331206410685
0.0019913614,5.1259995e-06,0.99987614,DB00709,DB00180,2.466500230039515e-07,0.997885025250023
0.0001437366,3.33786e-06,0.9998661,DB00710,DB00180,1.924633074000289e-08,0.9997223826463307
9.274483e-05,8.85427e-05,0.99919325,DB00727,DB00180,7.482189160249695e-08,0.9991005799918916
0.0024345815,1.1920929e-07,0.99984777,DB00742,DB00180,3.706163417449402e-07,0.9974135591163418
0.0056141615,2.6136637e-05,0.99953806,DB00780,DB00180,2.5934057633099665e-06,0.9939264919057633
0.0003848672,2.6524067e-06,0.9991399,DB00796,DB00180,3.310242787200117e-07,0.9987553638242788
0.0019648075,1.04904175e-05,0.9994543,DB00802,DB00180,1.0721954527499652e-06,0.9974905646954527
0.0050263107,0.0001629591,0.9996228,DB00820,DB00180,1.8959243960398312e-06,0.994598385224396
0.00031611323,6.6667795e-05,0.9940716,DB00831,DB00180,1.8740456727319824e-06,0.9937573608156728
6.54459e-05,0.00014531612,0.99496144,DB00862,DB00180,3.297530939040017e-07,0.9948963238530939
0.00023174286,6.8843365e-06,0.9959803,DB00871,DB00180,9.315367743419906e-07,0.9957494886767744
0.0007338822,4.172325e-07,0.9998248,DB00882,DB00180,1.285761614400308e-07,0.9990910463761614
0.0002542436,9.867549e-05,0.99314165,DB00884,DB00180,1.7436915940600033e-06,0.9928891500915941
1.2993813e-05,1.8030405e-05,0.9987292,DB00966,DB00180,1.6512537560400212e-08,0.9987162226995375
3.4302473e-05,1.0818243e-05,0.99402565,DB00985,DB00180,2.0493497956755057e-07,0.9939915524619796
0.004339993,1.3113022e-06,0.99992996,DB01013,DB00180,3.0397310971997154e-07,0.9955902709731097
0.0006761253,7.930398e-05,0.9995909,DB01020,DB00180,2.7660286023003453e-07,0.9989150513028602
0.002200663,0.00025337934,0.99779904,DB01030,DB00180,4.843571236480064e-06,0.9956032205712365
0.0005726516,2.1398067e-05,0.9926615,DB01047,DB00180,4.2024037666000145e-06,0.9920930508037666
0.00075119734,2.2947788e-06,0.99965405,DB01054,DB00180,2.598767197730295e-07,0.9989031125367198
0.00025066733,9.4890594e-05,0.993631,DB01071,DB00180,1.5965002247699892e-06,0.9933819291702248
0.0011554658,4.157424e-05,0.99958336,DB01081,DB00180,4.814132709119632e-07,0.9984283756132709
3.72231e-05,2.682209e-07,0.9982781,DB01100,DB00180,6.4094455890002e-08,0.9982409409944558
0.0011310279,6.4969063e-06,0.99585736,DB01175,DB00180,4.6854414196559725e-06,0.9947310175414197
0.004174471,3.4332275e-05,0.99975204,DB01192,DB00180,1.0351018291601964e-06,0.9955786041018291
0.001634717,6.7949295e-06,0.9994229,DB01202,DB00180,9.433951806999952e-07,0.9977891263951808
0.001601398,0.00055259466,0.99742275,DB01235,DB00180,4.12720299549996e-06,0.9958254792029955
0.0005360544,4.529953e-06,0.9981328,DB01236,DB00180,1.0009207756799774e-06,0.9975977465207757
0.00012350082,4.4703484e-07,0.9989442,DB01239,DB00180,1.3039216575600632e-07,0.9988208295721657
0.00043460727,2.8908253e-06,0.9994654,DB01244,DB00180,2.3234104654202248e-07,0.9990310250710465
0.003209561,9.268522e-06,0.99837226,DB01410,DB00180,5.224330822139964e-06,0.9951679233308222
0.0037131906,2.604723e-05,0.9993807,DB01551,DB00180,2.2995789385799605e-06,0.9956698089789386
0.0013265312,8.940697e-08,0.99998134,DB01589,DB00180,2.4753072191931237e-08,0.9986548335530722
0.005481392,1.6987324e-06,0.99920344,DB01590,DB00180,4.366257611519705e-06,0.9937264142576115
0.00015512109,1.013279e-06,0.99620104,DB01608,DB00180,5.892988160664028e-07,0.996046508208816
0.00014266372,9.536743e-07,0.9970919,DB01623,DB00180,4.148803641319956e-07,0.9969496511603642
0.0035698712,1.2218952e-06,0.9996746,DB01708,DB00180,1.1616360884801115e-06,0.9961058904360884
0.004766226,1.847744e-06,0.99956846,DB02665,DB00180,2.0568171680400384e-06,0.994804290817168
